Frame: 115, Time: 00:00:17, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 14, 'Undefined': 0}
Frame: 116, Time: 00:00:17, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 14, 'Undefined': 0}
Frame: 117, Time: 00:00:17, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 14, 'Undefined': 0}
Frame: 118, Time: 00:00:17, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 14, 'Undefined': 0}
Frame: 119, Time: 00:00:17, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 14, 'Undefined': 0}
Frame: 120, Time: 00:00:17, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 14, 'Undefined': 0}
Frame: 121, Time: 00:00:18, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 14, 'Undefined': 0}
Frame: 122, Time: 00:00:18, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 14, 'Undefined': 0}
Frame: 123, Time: 00:00:18, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 14, 'Undefined': 0}
Frame: 124, Time: 00:00:18, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 15, 'Undefined': 0}
Frame: 125, Time: 00:00:18, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 15, 'Undefined': 0}
Frame: 126, Time: 00:00:18, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 15, 'Undefined': 0}
Frame: 127, Time: 00:00:18, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 15, 'Undefined': 0}
Frame: 128, Time: 00:00:19, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 15, 'Undefined': 0}
Frame: 129, Time: 00:00:19, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 15, 'Undefined': 0}
Frame: 130, Time: 00:00:19, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 15, 'Undefined': 0}
Frame: 131, Time: 00:00:19, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 15, 'Undefined': 0}
Frame: 132, Time: 00:00:19, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 15, 'Undefined': 0}
Frame: 133, Time: 00:00:19, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 15, 'Undefined': 0}
Frame: 134, Time: 00:00:19, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 15, 'Undefined': 0}
Frame: 135, Time: 00:00:20, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 15, 'Undefined': 0}
